Datetime,CO(GT)
2004-06-27230000,17.0
2004-06-28000000,12.0
2004-06-28010000,1.0
2004-06-28020000,6.0
2004-06-28030000,5.0
2004-06-28040000,4.0
2004-06-28050000,5.0
2004-06-28060000,7.0
2004-06-28070000,32.0
2004-06-28080000,56.0
2004-06-28090000,46.0
2004-06-28100000,33.0
2004-06-28110000,21.0
2004-06-28120000,19.0
2004-06-28130000,19.0
2004-06-28140000,16.0
2004-06-28150000,2.0
2004-06-28160000,18.0
2004-06-28170000,29.0
2004-06-28180000,34.0
2004-06-28190000,31.0
2004-06-28200000,25.0
2004-06-28210000,18.0
2004-06-28220000,18.0
2004-06-28230000,2.0
2004-06-29000000,15.0
2004-06-29010000,8.0
2004-06-29020000,4.0
2004-06-29030000,3.0
2004-06-29050000,5.0
2004-06-29060000,7.0
2004-06-29070000,34.0
2004-06-29080000,57.0
2004-06-29090000,32.0
2004-06-29100000,27.0
2004-06-29110000,21.0
2004-06-29120000,28.0
2004-06-29130000,25.0
2004-06-29140000,21.0
2004-06-29150000,25.0
2004-06-29160000,27.0
2004-06-29170000,37.0
2004-06-29180000,37.0
2004-06-29190000,46.0
2004-06-29200000,26.0
2004-06-29210000,25.0
2004-06-29220000,23.0
2004-06-29230000,22.0
2004-06-30000000,25.0
2004-06-30010000,9.0
2004-06-30020000,8.0
2004-06-30030000,7.0
2004-06-30040000,5.0
2004-06-30050000,7.0
2004-06-30060000,9.0
2004-06-30070000,22.0
2004-06-30080000,28.0
2004-06-30090000,29.0
2004-06-30100000,29.0
2004-06-30110000,3.0
2004-06-30120000,25.0
2004-06-30130000,23.0
2004-06-30140000,21.0
2004-06-30150000,19.0
2004-06-30160000,23.0
2004-06-30170000,42.0
2004-06-30180000,49.0
2004-06-30190000,49.0
2004-06-30200000,35.0
2004-06-30210000,25.0
2004-06-30220000,25.0
2004-06-30230000,26.0
2004-07-01000000,23.0
2004-07-01010000,15.0
2004-07-01020000,9.0
2004-07-01030000,6.0
2004-07-01040000,6.0
2004-07-01050000,8.0
2004-07-01060000,9.0
2004-07-01070000,24.0
2004-07-01080000,39.0
2004-07-01090000,29.0
2004-07-01100000,27.0
2004-07-01110000,2.0
2004-07-01120000,24.0
2004-07-01130000,2.0
2004-07-01140000,18.0
2004-07-01150000,19.0
2004-07-01160000,18.0
2004-07-01170000,29.0
2004-07-01180000,33.0
2004-07-01190000,44.0
2004-07-01200000,34.0
2004-07-01210000,19.0
2004-07-01220000,21.0
2004-07-01230000,25.0
2004-07-02000000,23.0
2004-07-02010000,17.0
2004-07-02020000,15.0
2004-07-02030000,8.0
2004-07-02050000,5.0
2004-07-02060000,8.0
2004-07-02070000,26.0
2004-07-02080000,49.0
2004-07-02090000,29.0
2004-07-02100000,28.0
2004-07-02110000,18.0
2004-07-02120000,18.0
2004-07-02130000,19.0
2004-07-02140000,17.0
2004-07-02150000,17.0
2004-07-02160000,19.0
2004-07-02170000,21.0
2004-07-02180000,24.0
2004-07-02190000,3.0
2004-07-02200000,28.0
2004-07-02210000,19.0
2004-07-02220000,21.0
2004-07-02230000,18.0
2004-07-03000000,25.0
2004-07-03010000,11.0
2004-07-03020000,7.0
2004-07-03030000,7.0
2004-07-03040000,4.0
2004-07-03050000,7.0
2004-07-03060000,7.0
2004-07-03070000,18.0
2004-07-03080000,23.0
2004-07-03090000,19.0
2004-07-03100000,17.0
2004-07-03110000,13.0
2004-07-03120000,15.0
2004-07-03130000,13.0
2004-07-03140000,8.0
2004-07-03150000,8.0
2004-07-03160000,11.0
2004-07-03170000,12.0
2004-07-03180000,12.0
2004-07-03190000,14.0
2004-07-03200000,11.0
2004-07-03210000,15.0
2004-07-03220000,2.0
2004-07-03230000,19.0
2004-07-04000000,22.0
2004-07-04010000,11.0
2004-07-04020000,11.0
2004-07-04030000,8.0
2004-07-04040000,6.0
2004-07-04050000,6.0
2004-07-04060000,6.0
2004-07-04070000,6.0
2004-07-04080000,11.0
2004-07-04090000,1.0
2004-07-04100000,1.0
2004-07-04110000,1.0
2004-07-04120000,8.0
2004-07-04130000,7.0
2004-07-04140000,4.0
2004-07-04150000,5.0
2004-07-04160000,6.0
2004-07-04170000,7.0
2004-07-04180000,9.0
2004-07-04190000,16.0
2004-07-04200000,16.0
2004-07-04210000,17.0
2004-07-04220000,13.0
2004-07-04230000,19.0
2004-07-05000000,15.0
2004-07-05010000,6.0
2004-07-05020000,4.0
2004-07-05030000,3.0
2004-07-05050000,4.0
2004-07-05060000,7.0
2004-07-05070000,2.0
2004-07-05080000,39.0
2004-07-05090000,36.0
2004-07-05100000,32.0
2004-07-05110000,22.0
2004-07-05120000,22.0
2004-07-05130000,21.0
2004-07-05140000,18.0
2004-07-05150000,2.0
2004-07-05160000,18.0
2004-07-05170000,3.0
2004-07-05180000,43.0
2004-07-05190000,35.0
2004-07-05200000,25.0
2004-07-05210000,18.0
2004-07-05220000,19.0
2004-07-05230000,19.0
2004-07-06000000,19.0
2004-07-06010000,9.0
2004-07-06020000,7.0
2004-07-06030000,6.0
2004-07-06040000,4.0
2004-07-06050000,7.0
2004-07-06060000,16.0
2004-07-06070000,38.0
2004-07-06080000,51.0
2004-07-06090000,34.0
2004-07-06100000,26.0
2004-07-06110000,22.0
2004-07-06120000,34.0
2004-07-06130000,34.0
2004-07-06140000,18.0
2004-07-06150000,2.0
2004-07-06160000,24.0
2004-07-06170000,38.0
2004-07-06180000,44.0
2004-07-06190000,39.0
2004-07-06200000,4.0
2004-07-06210000,25.0
2004-07-06220000,21.0
2004-07-06230000,24.0
2004-07-07000000,21.0
2004-07-07010000,16.0
2004-07-07020000,8.0
2004-07-07030000,5.0
2004-07-07040000,4.0
2004-07-07050000,5.0
2004-07-07060000,13.0
2004-07-07070000,41.0
2004-07-07080000,41.0
2004-07-07090000,4.0
2004-07-07100000,22.0
2004-07-07110000,2.0
2004-07-07120000,2.0
2004-07-07130000,22.0
2004-07-07140000,22.0
2004-07-07150000,18.0
2004-07-07160000,18.0
2004-07-07170000,33.0
2004-07-07180000,43.0
2004-07-07190000,53.0
2004-07-07200000,43.0
2004-07-07210000,36.0
2004-07-07220000,24.0
2004-07-07230000,21.0
2004-07-08000000,12.0
2004-07-08010000,9.0
2004-07-08020000,6.0
2004-07-08030000,5.0
2004-07-08050000,6.0
2004-07-08060000,6.0
2004-07-08070000,22.0
2004-07-08080000,32.0
2004-07-08090000,3.0
2004-07-08100000,27.0
2004-07-08110000,32.0
2004-07-08120000,14.0
2004-07-08130000,13.0
2004-07-08140000,14.0
2004-07-08150000,21.0
2004-07-08160000,24.0
2004-07-08170000,31.0
2004-07-08180000,35.0
2004-07-08190000,51.0
2004-07-08200000,45.0
2004-07-08210000,29.0
2004-07-08220000,26.0
2004-07-08230000,27.0
2004-07-09000000,32.0
2004-07-09010000,23.0
2004-07-09020000,1.0
2004-07-09030000,5.0
2004-07-09040000,4.0
2004-07-09050000,6.0
2004-07-09060000,1.0
2004-07-09070000,29.0
2004-07-09080000,27.0
2004-07-09090000,18.0
2004-07-09100000,18.0
2004-07-09110000,17.0
2004-07-09120000,15.0
2004-07-09130000,17.0
2004-07-09140000,13.0
2004-07-09150000,15.0
2004-07-09160000,15.0
2004-07-09170000,23.0
2004-07-09180000,22.0
2004-07-09190000,28.0
2004-07-09200000,27.0
2004-07-09210000,17.0
2004-07-09220000,15.0
2004-07-09230000,23.0
2004-07-10000000,23.0
2004-07-10010000,15.0
2004-07-10020000,1.0
2004-07-10030000,5.0
2004-07-10040000,3.0
2004-07-10050000,4.0
2004-07-10060000,5.0
2004-07-10070000,9.0
2004-07-10080000,11.0
2004-07-10090000,14.0
2004-07-10100000,11.0
2004-07-10110000,9.0
2004-07-10120000,8.0
2004-07-10130000,8.0
2004-07-10140000,6.0
2004-07-10150000,6.0
2004-07-10160000,5.0
2004-07-10170000,7.0
2004-07-10180000,8.0
2004-07-10190000,9.0
2004-07-10200000,13.0
2004-07-10210000,13.0
2004-07-10220000,14.0
2004-07-10230000,19.0
2004-07-11000000,23.0
2004-07-11010000,1.0
2004-07-11020000,5.0
2004-07-11030000,1.0
2004-07-11040000,4.0
2004-07-11050000,3.0
2004-07-11060000,2.0
2004-07-11070000,4.0
2004-07-11080000,3.0
2004-07-11090000,6.0
2004-07-11100000,6.0
2004-07-11110000,6.0
2004-07-11120000,5.0
2004-07-11130000,4.0
2004-07-11140000,2.0
2004-07-11150000,4.0
2004-07-11160000,6.0
2004-07-11170000,9.0
2004-07-11180000,7.0
2004-07-11190000,12.0
2004-07-11200000,16.0
2004-07-11210000,18.0
2004-07-11220000,24.0
2004-07-11230000,15.0
2004-07-12000000,9.0
2004-07-12010000,8.0
2004-07-12020000,2.0
2004-07-12030000,1.0
2004-07-12050000,5.0
2004-07-12060000,14.0
2004-07-12070000,33.0
2004-07-12080000,36.0
2004-07-12090000,17.0
2004-07-12100000,15.0
2004-07-12110000,16.0
2004-07-12120000,21.0
2004-07-12130000,21.0
2004-07-12140000,16.0
2004-07-12150000,13.0
2004-07-12160000,16.0
2004-07-12170000,31.0
2004-07-12180000,33.0
2004-07-12190000,34.0
2004-07-12200000,28.0
2004-07-12210000,15.0
2004-07-12220000,13.0
2004-07-12230000,16.0
2004-07-13000000,15.0
2004-07-13010000,1.0
2004-07-13020000,5.0
2004-07-13030000,4.0
2004-07-13040000,6.0
2004-07-13050000,7.0
2004-07-13060000,13.0
2004-07-13070000,4.0
2004-07-13080000,5.0
2004-07-13090000,36.0
2004-07-13100000,28.0
2004-07-13110000,26.0
2004-07-13120000,27.0
2004-07-13130000,23.0
2004-07-13140000,2.0
2004-07-13150000,13.0
2004-07-13160000,17.0
2004-07-13170000,28.0
2004-07-13180000,38.0
2004-07-13190000,49.0
2004-07-13200000,43.0
2004-07-13210000,26.0
2004-07-13220000,24.0
2004-07-13230000,19.0
2004-07-14000000,14.0
2004-07-14010000,11.0
2004-07-14020000,9.0
2004-07-14030000,7.0
2004-07-14040000,5.0
2004-07-14050000,8.0
2004-07-14060000,13.0
2004-07-14070000,47.0
2004-07-14080000,46.0
2004-07-14090000,37.0
2004-07-14100000,28.0
2004-07-14110000,18.0
2004-07-14120000,19.0
2004-07-14130000,2.0
2004-07-14140000,2.0
2004-07-14150000,21.0
2004-07-14160000,21.0
2004-07-14170000,32.0
2004-07-14180000,4.0
2004-07-14190000,46.0
2004-07-14200000,3.0
2004-07-14210000,29.0
2004-07-14220000,19.0
2004-07-14230000,14.0
2004-07-15000000,21.0
2004-07-15010000,12.0
2004-07-15020000,6.0
2004-07-15030000,4.0
2004-07-15050000,4.0
2004-07-15060000,7.0
2004-07-15070000,23.0
2004-07-15080000,4.0
2004-07-15090000,28.0
2004-07-15100000,16.0
2004-07-15110000,16.0
2004-07-15120000,2.0
2004-07-15130000,2.0
2004-07-15140000,17.0
2004-07-15150000,2.0
2004-07-15160000,22.0
2004-07-15170000,32.0
2004-07-15180000,36.0
2004-07-15190000,38.0
2004-07-15200000,48.0
2004-07-15210000,28.0
2004-07-15220000,26.0
2004-07-15230000,19.0
2004-07-16000000,17.0
2004-07-16010000,1.0
2004-07-16020000,7.0
2004-07-16030000,5.0
2004-07-16040000,4.0
2004-07-16050000,6.0
2004-07-16060000,7.0
2004-07-16070000,24.0
2004-07-16080000,44.0
2004-07-16090000,31.0
2004-07-16100000,2.0
2004-07-16110000,21.0
2004-07-16120000,21.0
2004-07-16130000,21.0
2004-07-16140000,22.0
2004-07-16150000,16.0
2004-07-16160000,24.0
2004-07-16170000,33.0
2004-07-16180000,4.0
2004-07-16190000,41.0
2004-07-16200000,42.0
2004-07-16210000,29.0
2004-07-16220000,23.0
2004-07-16230000,22.0
2004-07-17000000,21.0
2004-07-17010000,16.0
2004-07-17020000,12.0
2004-07-17030000,12.0
2004-07-17040000,9.0
2004-07-17050000,6.0
2004-07-17060000,7.0
2004-07-17070000,13.0
2004-07-17080000,2.0
2004-07-17090000,19.0
2004-07-17100000,22.0
2004-07-17110000,19.0
2004-07-17120000,15.0
2004-07-17130000,14.0
2004-07-17140000,1.0
2004-07-17150000,1.0
2004-07-17160000,14.0
2004-07-17170000,16.0
2004-07-17180000,16.0
2004-07-17190000,21.0
2004-07-17200000,2.0
2004-07-17210000,19.0
2004-07-17220000,23.0
2004-07-17230000,24.0
2004-07-18000000,22.0
2004-07-18010000,12.0
2004-07-18020000,11.0
2004-07-18030000,8.0
2004-07-18050000,6.0
2004-07-18060000,7.0
2004-07-18070000,4.0
2004-07-18080000,6.0
2004-07-18090000,9.0
2004-07-18100000,9.0
2004-07-18110000,8.0
2004-07-18120000,4.0
2004-07-18130000,3.0
2004-07-18140000,1.0
2004-07-18150000,5.0
2004-07-18160000,4.0
2004-07-18170000,3.0
2004-07-18180000,4.0
2004-07-18190000,6.0
2004-07-18200000,8.0
2004-07-18210000,12.0
2004-07-18220000,16.0
2004-07-18230000,12.0
2004-07-19000000,5.0
2004-07-19010000,3.0
2004-07-19020000,1.0
2004-07-19040000,1.0
2004-07-19050000,3.0
2004-07-19060000,8.0
2004-07-19070000,23.0
2004-07-19080000,34.0
2004-07-19090000,25.0
2004-07-19100000,24.0
2004-07-19110000,21.0
2004-07-21180000,41.0
2004-07-21190000,38.0
2004-07-21200000,34.0
2004-07-21210000,29.0
2004-07-21220000,31.0
2004-07-21230000,35.0
2004-07-22000000,24.0
2004-07-22010000,16.0
2004-07-22020000,13.0
2004-07-22030000,9.0
2004-07-22040000,1.0
2004-07-22050000,8.0
2004-07-22060000,11.0
2004-07-22070000,44.0
2004-07-22100000,33.0
2004-07-22110000,21.0
2004-07-22120000,21.0
2004-07-22130000,2.0
2004-07-22140000,15.0
2004-07-22150000,21.0
2004-07-22160000,23.0
2004-07-22170000,28.0
2004-07-22180000,36.0
2004-07-22190000,4.0
2004-07-22200000,37.0
2004-07-22210000,25.0
2004-07-22220000,23.0
2004-07-22230000,25.0
2004-07-23000000,27.0
2004-07-23010000,13.0
2004-07-23020000,8.0
2004-07-23030000,9.0
2004-07-23040000,5.0
2004-07-23050000,8.0
2004-07-23060000,1.0
2004-07-23070000,29.0
2004-07-23080000,38.0
2004-07-23090000,35.0
2004-07-23100000,24.0
2004-07-23110000,18.0
2004-07-23120000,21.0
2004-07-23130000,21.0
2004-07-23140000,15.0
2004-07-23150000,15.0
2004-07-23160000,18.0
2004-07-23170000,21.0
2004-07-23180000,3.0
2004-07-23190000,28.0
2004-07-23200000,25.0
2004-07-23210000,14.0
2004-07-23220000,17.0
2004-07-23230000,18.0
2004-07-24000000,24.0
2004-07-24010000,19.0
2004-07-24020000,14.0
2004-07-24030000,8.0
2004-07-24040000,7.0
2004-07-24050000,8.0
2004-07-24060000,7.0
2004-07-24070000,1.0
2004-07-24080000,17.0
2004-07-24090000,19.0
2004-07-24100000,23.0
2004-07-24110000,17.0
2004-07-24120000,13.0
2004-07-24130000,12.0
2004-07-24140000,8.0
2004-07-24150000,9.0
2004-07-24160000,11.0
2004-07-24170000,12.0
2004-07-24180000,13.0
2004-07-24190000,14.0
2004-07-24200000,12.0
2004-07-24210000,9.0
2004-07-24220000,11.0
2004-07-24230000,15.0
2004-07-25000000,17.0
2004-07-25010000,9.0
2004-07-25020000,7.0
2004-07-25030000,4.0
2004-07-25050000,3.0
2004-07-25060000,4.0
2004-07-25070000,4.0
2004-07-25080000,5.0
2004-07-25090000,5.0
2004-07-25100000,7.0
2004-07-25110000,9.0
2004-07-25120000,8.0
2004-07-25130000,8.0
2004-07-25140000,7.0
2004-07-25150000,8.0
2004-07-25160000,7.0
2004-07-25170000,8.0
2004-07-25180000,12.0
2004-07-25190000,16.0
2004-07-25200000,16.0
2004-07-25210000,15.0
2004-07-25220000,15.0
2004-07-25230000,15.0
2004-07-26000000,15.0
2004-07-26010000,12.0
2004-07-26020000,8.0
2004-07-31050000,8.0
2004-07-31060000,12.0
2004-07-31070000,1.0
2004-07-31080000,15.0
2004-07-31090000,28.0
2004-07-31100000,34.0
2004-07-31110000,33.0
2004-07-31120000,29.0
2004-07-31130000,22.0
2004-07-31140000,16.0
2004-07-31150000,9.0
2004-07-31160000,11.0
2004-07-31170000,1.0
2004-07-31180000,13.0
2004-07-31190000,16.0
2004-07-31200000,18.0
2004-07-31210000,22.0
2004-07-31220000,18.0
2004-07-31230000,23.0
2004-08-01000000,2.0
2004-08-01010000,18.0
2004-08-01020000,9.0
2004-08-01030000,5.0
2004-08-01040000,6.0
2004-08-01050000,4.0
2004-08-01060000,4.0
2004-08-01070000,4.0
2004-08-01080000,8.0
2004-08-01090000,8.0
2004-08-01100000,9.0
2004-08-01110000,7.0
2004-08-01120000,6.0
2004-08-01130000,5.0
2004-08-01140000,6.0
2004-08-01150000,7.0
2004-08-01160000,9.0
2004-08-01170000,9.0
2004-08-01180000,12.0
2004-08-01190000,14.0
2004-08-01200000,15.0
2004-08-01210000,17.0
2004-08-01220000,17.0
2004-08-01230000,17.0
2004-08-02000000,19.0
2004-08-02010000,12.0
2004-08-02020000,7.0
2004-08-02030000,3.0
2004-08-02040000,2.0
2004-08-02050000,4.0
2004-08-02060000,8.0
2004-08-02070000,19.0
2004-08-02090000,19.0
2004-08-02100000,19.0
2004-08-02110000,19.0
2004-08-02120000,17.0
2004-08-02130000,14.0
2004-08-02140000,12.0
2004-08-02150000,14.0
2004-08-02160000,14.0
2004-08-02170000,19.0
2004-08-02180000,22.0
2004-08-02190000,19.0
2004-08-02200000,17.0
2004-08-02210000,12.0
2004-08-02220000,3.0
2004-08-02230000,1.0
2004-08-03000000,1.0
2004-08-06050000,7.0
2004-08-06060000,12.0
2004-08-06070000,23.0
2004-08-06080000,3.0
2004-08-06090000,29.0
2004-08-06100000,26.0
2004-08-06110000,26.0
2004-08-06120000,26.0
2004-08-06130000,21.0
2004-08-06140000,17.0
2004-08-06150000,19.0
2004-08-06160000,25.0
2004-08-06170000,11.0
2004-08-06180000,21.0
2004-08-06190000,26.0
2004-08-06200000,26.0
2004-08-06210000,17.0
2004-08-06220000,15.0
2004-08-06230000,18.0
2004-08-07000000,14.0
2004-08-07010000,12.0
2004-08-07020000,7.0
2004-08-07030000,6.0
2004-08-07040000,7.0
2004-08-07050000,5.0
2004-08-07060000,6.0
2004-08-07070000,9.0
2004-08-07080000,12.0
2004-08-07090000,2.0
2004-08-07100000,19.0
2004-08-07110000,17.0
2004-08-07120000,12.0
2004-08-07130000,11.0
2004-08-07140000,1.0
2004-08-07150000,1.0
2004-08-07160000,1.0
2004-08-07170000,12.0
2004-08-07180000,16.0
2004-08-07190000,16.0
2004-08-07200000,16.0
2004-08-07210000,13.0
2004-08-07220000,19.0
2004-08-07230000,19.0
2004-08-08000000,15.0
2004-08-08010000,11.0
2004-08-08020000,8.0
2004-08-08030000,9.0
2004-08-08040000,6.0
2004-08-08050000,6.0
2004-08-08060000,7.0
2004-08-08070000,6.0
2004-08-08080000,1.0
2004-08-08090000,12.0
2004-08-08100000,1.0
2004-08-08110000,13.0
2004-08-08120000,14.0
2004-08-08130000,8.0
2004-08-08140000,6.0
2004-08-08150000,7.0
2004-08-08160000,8.0
2004-08-08170000,9.0
2004-08-08180000,1.0
2004-08-08190000,15.0
2004-08-08200000,15.0
2004-08-08210000,17.0
2004-08-08220000,19.0
2004-08-08230000,17.0
2004-08-09000000,12.0
2004-08-09010000,11.0
2004-08-09020000,8.0
2004-08-09030000,5.0
2004-08-09050000,7.0
2004-08-09060000,12.0
2004-08-09070000,23.0
2004-08-09080000,25.0
2004-08-09090000,24.0
2004-08-09100000,14.0
2004-08-09110000,12.0
2004-08-09120000,16.0
2004-08-09130000,14.0
2004-08-09140000,12.0
2004-08-09150000,15.0
2004-08-09160000,14.0
2004-08-09170000,15.0
2004-08-09180000,17.0
2004-08-09190000,22.0
2004-08-09200000,19.0
2004-08-09210000,16.0
2004-08-09220000,15.0
2004-08-09230000,14.0
2004-08-10000000,1.0
2004-08-10010000,7.0
2004-08-10020000,5.0
2004-08-10030000,5.0
2004-08-10040000,5.0
2004-08-10050000,7.0
2004-08-10060000,12.0
2004-08-10070000,22.0
2004-08-10080000,29.0
2004-08-10090000,26.0
2004-08-10100000,26.0
2004-08-10110000,22.0
2004-08-10120000,15.0
2004-08-10130000,9.0
2004-08-10140000,1.0
2004-08-10150000,11.0
2004-08-10160000,12.0
2004-08-10170000,18.0
2004-08-10180000,18.0
2004-08-10190000,17.0
2004-08-10200000,17.0
2004-08-10210000,16.0
2004-08-10220000,17.0
2004-08-10230000,18.0
2004-08-11000000,15.0
2004-08-11010000,12.0
2004-08-11020000,8.0
2004-08-11030000,5.0
2004-08-11040000,5.0
2004-08-11050000,7.0
2004-08-11060000,11.0
2004-08-11070000,14.0
2004-08-11080000,17.0
2004-08-11090000,18.0
2004-08-11100000,18.0
2004-08-11110000,17.0
2004-08-11120000,13.0
2004-08-11130000,13.0
2004-08-11140000,1.0
2004-08-11150000,1.0
2004-08-11160000,14.0
2004-08-11170000,16.0
2004-08-11180000,14.0
2004-08-11190000,17.0
2004-08-11200000,14.0
2004-08-11210000,15.0
2004-08-11220000,14.0
2004-08-11230000,15.0
2004-08-12000000,16.0
2004-08-12010000,12.0
2004-08-12020000,9.0
2004-08-12030000,6.0
2004-08-12050000,7.0
2004-08-12060000,7.0
2004-08-12070000,17.0
2004-08-12080000,22.0
2004-08-12090000,19.0
2004-08-12100000,15.0
2004-08-12110000,16.0
2004-08-12120000,13.0
2004-08-12130000,11.0
2004-08-12140000,1.0
2004-08-12150000,1.0
2004-08-12160000,11.0
2004-08-12170000,13.0
2004-08-12180000,15.0
2004-08-12190000,16.0
2004-08-12200000,15.0
2004-08-12210000,13.0
2004-08-12220000,12.0
2004-08-12230000,16.0
2004-08-13000000,14.0
2004-08-13010000,11.0
2004-08-13020000,7.0
2004-08-13030000,4.0
2004-08-13040000,5.0
2004-08-13050000,5.0
2004-08-13060000,8.0
2004-08-13070000,16.0
2004-08-13080000,16.0
2004-08-13090000,14.0
2004-08-13100000,15.0
2004-08-13110000,12.0
2004-08-13120000,11.0
2004-08-13130000,8.0
2004-08-13140000,7.0
2004-08-13150000,7.0
2004-08-13160000,7.0
2004-08-13170000,1.0
2004-08-13180000,1.0
2004-08-13190000,12.0
2004-08-13200000,11.0
2004-08-13210000,1.0
2004-08-13220000,12.0
2004-08-13230000,14.0
2004-08-14000000,13.0
2004-08-14010000,1.0
2004-08-14020000,6.0
2004-08-14030000,4.0
2004-08-14040000,4.0
2004-08-14050000,4.0
2004-08-14060000,5.0
2004-08-14070000,11.0
2004-08-14080000,12.0
2004-08-14090000,9.0
2004-08-14100000,9.0
2004-08-14110000,1.0
2004-08-14120000,8.0
2004-08-14130000,8.0
2004-08-14140000,7.0
2004-08-14150000,7.0
2004-08-14160000,7.0
2004-08-14170000,7.0
2004-08-14180000,9.0
2004-08-14190000,12.0
2004-08-14200000,14.0
2004-08-14210000,12.0
2004-08-14220000,1.0
2004-08-14230000,9.0
2004-08-15000000,7.0
2004-08-15010000,5.0
2004-08-15020000,5.0
2004-08-15030000,4.0
2004-08-15050000,4.0
2004-08-15060000,4.0
2004-08-15070000,5.0
2004-08-15080000,7.0
2004-08-15090000,11.0
2004-08-15100000,1.0
2004-08-15110000,12.0
2004-08-15120000,11.0
2004-08-15130000,6.0
2004-08-15140000,4.0
2004-08-15150000,4.0
2004-08-15160000,5.0
2004-08-15170000,6.0
2004-08-15180000,8.0
2004-08-15190000,1.0
2004-08-15200000,11.0
2004-08-15210000,11.0
2004-08-15220000,16.0
2004-08-15230000,9.0
2004-08-16000000,7.0
2004-08-16010000,7.0
2004-08-16020000,5.0
2004-08-16030000,4.0
2004-08-16040000,3.0
2004-08-16050000,4.0
2004-08-16060000,9.0
2004-08-16070000,13.0
2004-08-16080000,16.0
2004-08-16090000,21.0
2004-08-16100000,2.0
2004-08-16110000,14.0
2004-08-16120000,14.0
2004-08-16130000,9.0
2004-08-16140000,8.0
2004-08-16150000,8.0
2004-08-16160000,1.0
2004-08-16170000,13.0
2004-08-16180000,13.0
2004-08-16190000,13.0
2004-08-16200000,16.0
2004-08-16210000,14.0
2004-08-16220000,13.0
2004-08-16230000,1.0
2004-08-17000000,9.0
2004-08-17010000,6.0
2004-08-17020000,5.0
2004-08-17030000,5.0
2004-08-17040000,4.0
2004-08-17050000,4.0
2004-08-17060000,1.0
2004-08-17070000,22.0
2004-08-17080000,25.0
2004-08-17090000,23.0
2004-08-17100000,2.0
2004-08-18160000,14.0
2004-08-18170000,17.0
2004-08-18180000,15.0
2004-08-18190000,17.0
2004-08-18200000,16.0
2004-08-18210000,14.0
2004-08-18220000,14.0
2004-08-18230000,14.0
2004-08-19000000,12.0
2004-08-19010000,9.0
2004-08-19020000,6.0
2004-08-19030000,4.0
2004-08-19040000,5.0
2004-08-19050000,5.0
2004-08-19060000,8.0
2004-08-19070000,14.0
2004-08-19080000,12.0
2004-08-19090000,1.0
2004-08-19100000,12.0
2004-08-19110000,11.0
2004-08-19120000,12.0
2004-08-19130000,11.0
2004-08-19140000,1.0
2004-08-19150000,1.0
2004-08-19160000,12.0
2004-08-19170000,17.0
2004-08-19180000,17.0
2004-08-19190000,17.0
2004-08-19200000,17.0
2004-08-23090000,2.0
2004-08-23110000,16.0
2004-08-23120000,13.0
2004-08-23130000,1.0
2004-08-23140000,9.0
2004-08-23150000,1.0
2004-08-23160000,11.0
2004-08-23170000,15.0
2004-08-23180000,15.0
2004-08-23190000,16.0
2004-08-23200000,17.0
2004-08-23210000,14.0
2004-08-23220000,12.0
2004-08-23230000,11.0
2004-08-24000000,11.0
2004-08-24010000,12.0
2004-08-24020000,7.0
2004-08-24030000,5.0
2004-08-24040000,4.0
2004-08-24050000,7.0
2004-08-24060000,11.0
2004-08-24070000,16.0
2004-08-24080000,23.0
2004-08-24090000,16.0
2004-08-24100000,2.0
2004-08-24110000,16.0
2004-08-24120000,16.0
2004-08-24130000,13.0
2004-08-24140000,1.0
2004-08-24150000,16.0
2004-08-24160000,2.0
2004-08-24170000,17.0
2004-08-24180000,17.0
2004-08-24190000,14.0
2004-08-24200000,13.0
2004-08-24210000,13.0
2004-08-24220000,16.0
2004-08-24230000,18.0
2004-08-25000000,15.0
2004-08-25010000,13.0
2004-08-25020000,11.0
2004-08-25030000,5.0
2004-08-25040000,6.0
2004-08-25050000,7.0
2004-08-25060000,11.0
2004-08-25070000,19.0
2004-08-25080000,35.0
2004-08-25090000,29.0
2004-08-25100000,22.0
2004-08-25110000,2.0
2004-08-25120000,17.0
2004-08-25130000,16.0
2004-08-25140000,13.0
2004-08-25150000,13.0
2004-08-25160000,13.0
2004-08-25170000,16.0
2004-08-25180000,13.0
2004-08-25190000,14.0
2004-08-25200000,14.0
2004-08-25210000,13.0
2004-08-25220000,14.0
2004-08-25230000,15.0
2004-08-26000000,15.0
2004-08-26010000,9.0
2004-08-26020000,6.0
2004-08-26030000,5.0
2004-08-26050000,5.0
2004-08-26060000,1.0
2004-08-26070000,19.0
2004-08-26080000,26.0
2004-08-26090000,17.0
2004-08-26100000,17.0
2004-08-26110000,14.0
2004-08-26120000,16.0
2004-08-26130000,13.0
2004-08-26140000,9.0
2004-08-26150000,14.0
2004-08-26160000,1.0
2004-08-26170000,22.0
2004-08-26180000,19.0
2004-08-26190000,21.0
2004-08-26200000,17.0
2004-08-26210000,1.0
2004-08-26220000,11.0
2004-08-26230000,7.0
2004-08-27000000,13.0
2004-08-27010000,13.0
2004-08-27020000,1.0
2004-08-27030000,7.0
2004-08-27040000,6.0
2004-08-27050000,7.0
2004-08-27060000,11.0
2004-08-27070000,24.0
2004-08-27080000,24.0
2004-08-27090000,23.0
2004-08-27100000,22.0
2004-08-27110000,18.0
2004-08-27120000,2.0
2004-08-27130000,15.0
2004-08-27140000,14.0
2004-08-27150000,15.0
2004-08-27160000,16.0
